normal 1200 370 -1
normal 1275 390 -1
normal 1350 410 1
normal 1425 430 1
wait 0 0 1
normal 1200 390 -1
normal 1250 390 1
normal 1300 420 1
normal 1350 420 -1
normal 1400 390 1
normal 1450 390 -1
wait 0 0 2
tanker 1200 405 1
normal 1300 380 1
normal 1350 420 -1
normal 1400 405 -1
normal 1450 405 1
wait 0 0 3
normal 1200 370 -1
normal 1250 395 1
tanker 1250 420 -1
normal 1300 400 -1
normal 1350 440 1
tanker 1350 385 1
wait 0 0 4
smaller 1200 410 -1
smaller 1275 410 1
smaller 1325 390 1
smaller 1375 430 -1
smaller 1425 385 -1
smaller 1475 410 1
wait 0 0 5
normal 1200 380 1
normal 1200 420 -1
normal 1300 370 1
normal 1300 430 -1
smaller 1400 400 -1
smaller 1475 400 -1
smaller 1550 400 1
tanker 1375 400 1
wait 0 0 6
smaller 1250 385 1
smaller 1250 415 -1
normal 1200 400 1
normal 1275 390 -1
normal 1350 370 -1
tanker 1250 405 -1
normal 1425 420 1
tanker 1300 410 1
wait 0 0 7
boss 1200 370 1
normal 1500 425 -1
normal 1575 380 1
smaller 2500 390 -1
smaller 2600 410 1
tanker 1875 405 1
normal 2800 390 -1
normal 2850 375 1
normal 2900 425 1
normal 2950 405 -1
wait 0 0 8
